timestamp_hours,day,hour_of_day,solar_generation_kw,load_demand_kw,battery_soc_percent,battery_energy_kwh,grid_import_kwh,grid_export_kwh,cloud_coverage,inverter_operational
24.0,2,0,0.0,0.574,5.0,0.68,3.5,20.67,0.47,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
25.0,2,1,0.688,0.512,6.31,0.85,3.54,20.67,0.47,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
26.0,2,2,1.329,0.575,11.89,1.61,3.59,20.67,0.47,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
27.0,2,3,1.879,0.547,21.75,2.94,3.62,20.67,0.47,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
28.0,2,4,2.301,0.521,34.94,4.72,3.65,20.67,0.47,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
29.0,2,5,2.567,0.523,50.08,6.76,3.68,20.67,0.47,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
30.0,2,6,2.657,0.649,64.96,8.77,3.72,20.67,0.47,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
31.0,2,7,2.567,0.647,79.18,10.69,3.75,20.67,0.47,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
32.0,2,8,2.301,0.546,92.18,12.44,3.79,20.67,0.47,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
33.0,2,9,1.879,0.616,100.0,13.5,3.79,20.88,0.47,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
34.0,2,10,1.329,0.637,100.0,13.5,3.79,21.57,0.47,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
35.0,2,11,0.688,0.515,100.0,13.5,3.79,21.74,0.47,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
36.0,2,12,0.0,0.54,96.0,12.96,3.84,21.74,0.47,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
37.0,2,13,0.0,0.51,92.22,12.45,3.89,21.74,0.47,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
38.0,2,14,0.0,0.521,88.37,11.93,3.94,21.74,0.47,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
39.0,2,15,0.0,0.643,83.6,11.29,4.01,21.74,0.47,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
40.0,2,16,0.0,0.6,79.16,10.69,4.07,21.74,0.47,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
41.0,2,17,0.0,0.549,75.1,10.14,4.12,21.74,0.47,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
42.0,2,18,0.0,2.054,59.88,8.08,4.33,21.74,0.47,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
43.0,2,19,0.0,0.804,53.93,7.28,4.41,21.74,0.47,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
44.0,2,20,0.0,1.438,43.28,5.84,4.55,21.74,0.47,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
45.0,2,21,0.0,2.389,25.58,3.45,4.79,21.74,0.47,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
46.0,2,22,0.0,0.601,21.13,2.85,4.85,21.74,0.47,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
47.0,2,23,0.0,0.57,16.9,2.28,4.91,21.74,0.47,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
48.0,3,0,0.0,0.527,13.0,1.75,4.96,21.74,0.81,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
49.0,3,1,0.247,0.6,10.38,1.4,5.02,21.74,0.81,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
50.0,3,2,0.477,0.522,10.05,1.36,5.07,21.74,0.81,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
51.0,3,3,0.675,0.632,10.37,1.4,5.12,21.74,0.81,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
52.0,3,4,0.827,0.537,12.52,1.69,5.17,21.74,0.81,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
53.0,3,5,0.922,0.605,14.87,2.01,5.22,21.74,0.81,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
54.0,3,6,0.955,0.538,17.96,2.42,5.26,21.74,0.81,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
55.0,3,7,0.922,0.557,20.67,2.79,5.31,21.74,0.81,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
56.0,3,8,0.827,0.531,22.86,3.09,5.35,21.74,0.81,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
57.0,3,9,0.675,0.552,23.77,3.21,5.4,21.74,0.81,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
58.0,3,10,0.477,0.643,22.54,3.04,5.46,21.74,0.81,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
59.0,3,11,0.247,0.644,19.6,2.65,5.52,21.74,0.81,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
60.0,3,12,0.0,0.507,15.84,2.14,5.57,21.74,0.81,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
61.0,3,13,0.0,0.631,11.17,1.51,5.64,21.74,0.81,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
62.0,3,14,0.0,0.558,7.04,0.95,5.69,21.74,0.81,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
63.0,3,15,0.0,0.623,5.0,0.68,6.07,21.74,0.81,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
64.0,3,16,0.0,0.631,5.0,0.68,6.7,21.74,0.81,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
65.0,3,17,0.0,0.592,5.0,0.68,7.29,21.74,0.81,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
66.0,3,18,0.0,2.939,5.0,0.68,10.23,21.74,0.81,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
67.0,3,19,0.0,1.536,5.0,0.68,11.77,21.74,0.81,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
68.0,3,20,0.0,2.75,5.0,0.68,14.52,21.74,0.81,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
69.0,3,21,0.0,1.045,5.0,0.68,15.56,21.74,0.81,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
70.0,3,22,0.0,0.588,5.0,0.68,16.15,21.74,0.81,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
71.0,3,23,0.0,0.621,5.0,0.68,16.77,21.74,0.81,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
72.0,4,0,0.0,0.589,5.0,0.68,17.36,21.74,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
73.0,4,1,0.458,0.634,5.0,0.68,17.58,21.74,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
74.0,4,2,0.884,0.59,7.18,0.97,17.63,21.74,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
75.0,4,3,1.251,0.638,11.72,1.58,17.68,21.74,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
76.0,4,4,1.532,0.528,19.16,2.59,17.72,21.74,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
77.0,4,5,1.709,0.567,27.62,3.73,17.76,21.74,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
78.0,4,6,1.769,0.643,35.96,4.85,17.8,21.74,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
79.0,4,7,1.709,0.547,44.56,6.02,17.84,21.74,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
80.0,4,8,1.532,0.588,51.55,6.96,17.88,21.74,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
81.0,4,9,1.251,0.64,56.08,7.57,17.94,21.74,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
82.0,4,10,0.884,0.528,58.72,7.93,17.98,21.74,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
83.0,4,11,0.458,0.636,57.4,7.75,18.04,21.74,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
84.0,4,12,0.0,0.622,52.8,7.13,18.1,21.74,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
85.0,4,13,0.0,0.638,48.07,6.49,18.16,21.74,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
86.0,4,14,0.0,0.52,44.22,5.97,18.22,21.74,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
87.0,4,15,0.0,0.601,39.77,5.37,18.28,21.74,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
88.0,4,16,0.0,0.557,35.64,4.81,18.33,21.74,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
89.0,4,17,0.0,0.508,31.88,4.3,18.38,21.74,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
90.0,4,18,0.0,0.709,26.63,3.6,18.45,21.74,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
91.0,4,19,0.0,2.326,9.41,1.27,18.69,21.74,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
92.0,4,20,0.0,1.79,5.0,0.68,19.94,21.74,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
93.0,4,21,0.0,3.5,5.0,0.68,23.44,21.74,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
94.0,4,22,0.0,0.554,5.0,0.68,24.0,21.74,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
95.0,4,23,0.0,0.609,5.0,0.68,24.61,21.74,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
96.0,5,0,0.0,0.58,5.0,0.68,25.19,21.74,0.33,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
97.0,5,1,0.865,0.511,7.62,1.03,25.23,21.74,0.33,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
98.0,5,2,1.671,0.59,15.62,2.11,25.27,21.74,0.33,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
99.0,5,3,2.363,0.643,28.36,3.83,25.31,21.74,0.33,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
100.0,5,4,2.894,0.639,45.06,6.08,25.35,21.74,0.33,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
101.0,5,5,3.228,0.549,64.9,8.76,25.37,21.74,0.33,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
102.0,5,6,3.341,0.549,85.59,11.55,25.39,21.74,0.33,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
103.0,5,7,3.228,0.514,100.0,13.5,25.39,22.51,0.33,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
104.0,5,8,2.894,0.643,100.0,13.5,25.39,24.76,0.33,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
105.0,5,9,2.363,0.549,100.0,13.5,25.39,26.57,0.33,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
106.0,5,10,1.671,0.546,100.0,13.5,25.39,27.7,0.33,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
107.0,5,11,0.865,0.591,100.0,13.5,25.39,27.97,0.33,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
108.0,5,12,0.0,0.645,95.22,12.85,25.45,27.97,0.33,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
109.0,5,13,0.0,0.601,90.77,12.25,25.51,27.97,0.33,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
110.0,5,14,0.0,0.526,86.87,11.73,25.57,27.97,0.33,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
111.0,5,15,0.0,0.5,83.16,11.23,25.62,27.97,0.33,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
112.0,5,16,0.0,0.565,78.98,10.66,25.67,27.97,0.33,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
113.0,5,17,0.0,0.513,75.18,10.15,25.73,27.97,0.33,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
114.0,5,18,0.0,2.041,60.06,8.11,25.93,27.97,0.33,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
115.0,5,19,0.0,2.888,38.66,5.22,26.22,27.97,0.33,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
116.0,5,20,0.0,0.913,31.9,4.31,26.31,27.97,0.33,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
117.0,5,21,0.0,2.808,11.1,1.5,26.59,27.97,0.33,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
118.0,5,22,0.0,0.544,7.07,0.95,26.64,27.97,0.33,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
119.0,5,23,0.0,0.566,5.0,0.68,26.96,27.97,0.33,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
120.0,6,0,0.0,0.512,5.0,0.68,27.47,27.97,0.67,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
121.0,6,1,0.423,0.597,5.0,0.68,27.68,27.97,0.67,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
122.0,6,2,0.817,0.635,6.35,0.86,27.74,27.97,0.67,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
123.0,6,3,1.156,0.569,10.7,1.44,27.78,27.97,0.67,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
124.0,6,4,1.416,0.594,16.79,2.27,27.83,27.97,0.67,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
125.0,6,5,1.579,0.517,24.66,3.33,27.86,27.97,0.67,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
126.0,6,6,1.635,0.619,32.19,4.35,27.91,27.97,0.67,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
127.0,6,7,1.579,0.629,39.23,5.3,27.96,27.97,0.67,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
128.0,6,8,1.416,0.501,46.01,6.21,27.99,27.97,0.67,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
129.0,6,9,1.156,0.553,50.48,6.81,28.04,27.97,0.67,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
130.0,6,10,0.817,0.52,52.68,7.11,28.08,27.97,0.67,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
131.0,6,11,0.423,0.591,51.44,6.94,28.14,27.97,0.67,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
132.0,6,12,0.0,0.535,47.47,6.41,28.19,27.97,0.67,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
133.0,6,13,0.0,0.597,43.05,5.81,28.25,27.97,0.67,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
134.0,6,14,0.0,0.566,38.85,5.24,28.31,27.97,0.67,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
135.0,6,15,0.0,0.544,34.82,4.7,28.36,27.97,0.67,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
136.0,6,16,0.0,0.586,30.48,4.12,28.42,27.97,0.67,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
137.0,6,17,0.0,0.584,26.15,3.53,28.48,27.97,0.67,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
138.0,6,18,0.0,3.025,5.0,0.67,28.93,27.97,0.67,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
139.0,6,19,0.0,2.337,5.0,0.67,31.27,27.97,0.67,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
140.0,6,20,0.0,3.579,5.0,0.67,34.85,27.97,0.67,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
141.0,6,21,0.0,1.335,5.0,0.67,36.18,27.97,0.67,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
142.0,6,22,0.0,0.602,5.0,0.67,36.78,27.97,0.67,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
143.0,6,23,0.0,0.612,5.0,0.67,37.4,27.97,0.67,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
144.0,7,0,0.0,0.562,5.0,0.67,37.96,27.97,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
145.0,7,1,0.457,0.509,5.0,0.68,38.05,27.97,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
146.0,7,2,0.882,0.591,7.16,0.97,38.1,27.97,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
147.0,7,3,1.248,0.649,11.6,1.57,38.15,27.97,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
148.0,7,4,1.528,0.6,18.48,2.49,38.2,27.97,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
149.0,7,5,1.705,0.618,26.53,3.58,38.24,27.97,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
150.0,7,6,1.765,0.517,35.77,4.83,38.28,27.97,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
151.0,7,7,1.705,0.508,44.64,6.03,38.31,27.97,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
152.0,7,8,1.528,0.546,51.91,7.01,38.35,27.97,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
153.0,7,9,1.248,0.589,56.79,7.67,38.4,27.97,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
154.0,7,10,0.882,0.512,59.54,8.04,38.44,27.97,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
155.0,7,11,0.457,0.547,58.87,7.95,38.49,27.97,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
156.0,7,12,0.0,0.556,54.75,7.39,38.55,27.97,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
157.0,7,13,0.0,0.554,50.65,6.84,38.6,27.97,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
158.0,7,14,0.0,0.631,45.97,6.21,38.66,27.97,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
159.0,7,15,0.0,0.559,41.83,5.65,38.72,27.97,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
160.0,7,16,0.0,0.585,37.49,5.06,38.78,27.97,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
161.0,7,17,0.0,0.526,33.6,4.54,38.83,27.97,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
162.0,7,18,0.0,2.215,17.19,2.32,39.05,27.97,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
163.0,7,19,0.0,0.705,11.97,1.62,39.12,27.97,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
164.0,7,20,0.0,2.217,5.0,0.68,40.49,27.97,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
165.0,7,21,0.0,3.377,5.0,0.68,43.87,27.97,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
166.0,7,22,0.0,0.535,5.0,0.68,44.4,27.97,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
167.0,7,23,0.0,0.536,5.0,0.68,44.94,27.97,0.65,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
168.0,8,0,0.0,0.542,5.0,0.68,45.48,27.97,0.66,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
169.0,8,1,0.439,0.562,5.0,0.68,45.64,27.97,0.66,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
170.0,8,2,0.848,0.514,7.48,1.01,45.69,27.97,0.66,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
171.0,8,3,1.2,0.643,11.6,1.57,45.74,27.97,0.66,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
172.0,8,4,1.47,0.548,18.43,2.49,45.78,27.97,0.66,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
173.0,8,5,1.639,0.564,26.39,3.56,45.82,27.97,0.66,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
174.0,8,6,1.697,0.584,34.64,4.68,45.86,27.97,0.66,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
175.0,8,7,1.639,0.642,42.03,5.67,45.91,27.97,0.66,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
176.0,8,8,1.47,0.532,48.97,6.61,45.95,27.97,0.66,<bound method Inverter.is_operational of <components.inverter.Inverter object at 0x00000260CB83EA50>>
